# epoch	set	loss	f1	precision	recall	roc_auc
1	train	1.149346	0.807086	0.847589	0.787978	0.883244
1	val	0.346067	0.466165	0.436620	0.500000	0.725806
2	train	0.954594	0.808122	0.849188	0.790196	0.883734
2	val	0.271465	0.462121	0.435714	0.491935	0.752688
3	train	0.766775	0.832574	0.884745	0.808158	0.925921
3	val	0.230760	0.655101	0.949275	0.611111	0.752688
4	train	0.715514	0.839884	0.889864	0.816563	0.902694
4	val	0.211897	0.655101	0.949275	0.611111	0.747312
5	train	0.788289	0.818546	0.866426	0.797456	0.904011
5	val	0.203360	0.544872	0.607843	0.539427	0.747312
6	train	0.697218	0.827138	0.883281	0.803187	0.897703
6	val	0.161201	0.618962	0.697761	0.594982	0.888889
7	train	0.630016	0.826229	0.862344	0.808157	0.902409
7	val	0.162240	0.703637	0.830224	0.658602	0.883513
8	train	0.574748	0.840693	0.873151	0.822822	0.903530
8	val	0.141394	0.813648	0.885897	0.769713	0.896057
9	train	0.489853	0.863578	0.914799	0.839712	0.924099
9	val	0.155649	0.709016	0.693939	0.729391	0.815412
10	train	0.495725	0.853872	0.894697	0.832679	0.929322
10	val	0.166028	0.726573	0.717213	0.737455	0.881720
11	train	0.546876	0.841980	0.878125	0.822384	0.899599
11	val	0.152092	0.745520	0.745520	0.745520	0.858423
12	train	0.480728	0.864188	0.894657	0.847577	0.928985
12	val	0.135544	0.809140	0.809140	0.809140	0.915771
13	train	0.469915	0.865686	0.888798	0.850182	0.928712
13	val	0.123754	0.813648	0.885897	0.769713	0.913978
14	train	0.460187	0.854091	0.878650	0.837087	0.925619
14	val	0.134108	0.787334	0.775410	0.801075	0.919355
15	train	0.480860	0.862762	0.892000	0.845075	0.922535
15	val	0.138502	0.766118	0.780754	0.753584	0.924731
16	train	0.534334	0.820351	0.845307	0.805537	0.914563
16	val	0.159727	0.767213	0.747727	0.793011	0.887097
17	train	0.461755	0.857342	0.892313	0.838067	0.938176
17	val	0.151161	0.767213	0.747727	0.793011	0.813620
18	train	0.423790	0.878015	0.903502	0.862368	0.945976
18	val	0.149292	0.767213	0.747727	0.793011	0.894265
19	train	0.440685	0.856887	0.870008	0.846279	0.932570
19	val	0.158913	0.748524	0.724576	0.784946	0.838710
20	train	0.476814	0.853269	0.896998	0.832633	0.927443
20	val	0.143904	0.767213	0.747727	0.793011	0.887097
